Rank,Club / Country,Points,1-yr change
163,IngolstadtGermany,1532,91532
164,Spartak MoskvaRussia,1530,101530
165,PFC SochiRussia,1530,101530
166,Vitória GuimarãesPortugal,1530,251514
167,Nomme Kalju FC (EST)Estonia,1529,871564
168,AFC BournemouthEngland,1529,51524
169,CarpiItaly,1528,131528
170,Levski SofiaBulgaria,1526,31519
171,ElfsborgSweden,1526,981478
172,Stoke CityEngland,1526,161526
173,ElcheSpain,1522,501497
174,Pafos FCCyprus,1521,561493
175,SlováckoCzech Republic,1520,121520
176,EibarSpain,1517,81517
177,Clermont FootFrance,1517,1401461
178,Swansea CityEngland,1515,71515
179,Wigan AthleticEngland,1515,41515
180,Schalke 04Germany,1514,5121380
181,Zrinjski MostarBosnia and Herzegovina,1513,241500
182,AEK LarnacaCyprus,1512,371527
183,LASK LinzAustria,1512,691483
184,ToulouseFrance,1511,4831384
185,LorientFrance,1510,761545
186,Zalgiris VilniusLithuania,1510,531534
187,KS Raków CzęstochowaPoland,1509,01505
188,DSC Arminia BielefeldGermany,1508,61508
189,Cherno More VarnaBulgaria,1506,521485
190,Aris LimassolCyprus,1505,3721402
191,Sporting GijónSpain,1504,61504
192,Connah's QuayWales,1503,411488
193,MariborSlovenia,1502,161497
194,TimişoaraRomania,1502,81502
195,NK CeljeSlovenia,1502,3201410
196,Leeds UnitedEngland,1502,1661586
197,1. FC HeidenheimGermany,1501,11500
198,Neath AthleticWales,1501,71501
199,Olimpija LjubljanaSlovenia,1500,501519
200,AnorthosisCyprus,1499,361485
201,Le Havre ACFrance,1499,1411450
202,Birmingham CityEngland,1498,11498
203,Kairat AlmatyKazakhstan,1498,471516
204,RijekaCroatia,1496,871464
205,Deportivo AlavesSpain,1496,11497
,,,
206,Las PalmasSpain,1496,4201389
207,BK HäckenSweden,1495,401509
208,DjurgårdenSweden,1495,1121544
209,CS Universitatea CraiovaRomania,1494,621518
210,CataniaItaly,1494,21494
211,Dunajska StredaSlovakia,1493,571470
212,Deportivo XerezSpain,1491,21491
213,Hertha BSCGermany,1491,991535
214,Hammarby IFSweden,1490,621515
215,SochauxFrance,1490,41490
216,Aris Thessaloniki FCGreece,1489,311500
217,U.S. Salernitana 1919Italy,1488,1461551
218,GranadaSpain,1487,1461551
219,FC FamalicãoPortugal,1486,1791434
220,Deportivo La CoruñaSpain,1486,11486
221,Omonia NicosiaCyprus,1486,361499
222,Derry CityIreland,1484,781458
223,OsijekCroatia,1484,1341544
224,Hellas VeronaItaly,1484,1141532
225,Luton Town F.C.England,1483,471500
226,ČukaričkiSerbia,1482,391498
227,SK Sigma OlomoucCzech Republic,1482,801455
228,Topolski Sportski ClubSerbia,1482,981449
229,US CremoneseItaly,1482,331468
230,FC ZürichSwitzerland,1482,1351438
231,NantesFrance,1481,1641550
232,Lokomotiv PlovdivBulgaria,1481,241469
233,İstanbul BaşakşehirTurkey,1480,1851556
234,Neman GrodnoBelarus,1479,3741388
235,CagliariItaly,1478,281487
236,West BromEngland,1478,101478
237,FrosinoneItaly,1477,2861404
238,Legia WarszawaPoland,1477,321463
239,FC Infonet TallinnEstonia,1476,91476
240,ASD Spezia Calcio 2008Italy,1475,251464
241,Bolton WanderersEngland,1475,111475
242,BurnleyEngland,1475,2201567
243,Cardiff CityEngland,1472,121472
244,Paide LinnameeskondEstonia,1472,201476
245,Cercle BruggeBelgium,1471,3131394
246,Rubin KazanRussia,1471,131471
247,Real ZaragozaSpain,1470,111470
248,MoreirensePortugal,1470,3061395
249,Hull CityEngland,1470,121470
250,BlackpoolEngland,1469,91469
