Rk,Squad,MP_x,W,D,L,GF,GA,GD,Pts,Pts/MP,xG_x,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP_y,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_y,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
7,Le Havre,12,3,6,3,12,13,-1,15,1.25,12.4,18.3,-5.9,-0.49,L D D W D,"47,883",Nabil Alioui - 4,Arthur Desmas,,22,26.7,42.8,12,132,"1,080",12.0,12,11,23,12,0,1,19,2,12.4,11.6,9.5,21.2,148.0,408.0,1.0,0.92,1.92,1.0,1.92,1.04,0.79,1.83,0.97,1.77
8,Brest,11,4,3,4,11,13,-2,15,1.36,15.5,14.1,1.4,0.13,D D L L L,"14,695",Romain Del Castillo - 3,Marco Bizot,,22,27.4,50.6,11,121,990,11.0,11,6,17,9,2,2,30,1,15.5,14.0,10.6,24.6,204.0,403.0,1.0,0.55,1.55,0.82,1.36,1.41,0.96,2.38,1.27,2.23
9,Nantes,12,4,2,6,17,23,-6,14,1.17,15.4,22.0,-6.6,-0.55,W W L L L,"30,799",Mostafa Mohamed - 5,Alban Lafont,,26,26.8,46.8,12,132,"1,080",12.0,17,9,26,14,3,3,21,2,15.4,13.0,9.5,22.5,209.0,445.0,1.42,0.75,2.17,1.17,1.92,1.28,0.79,2.07,1.09,1.88
10,Montpellier,11,3,4,4,15,14,1,12,1.09,15.6,12.7,3.0,0.27,W L W L D,"14,484",Akor Adams - 7,Benjamin Lecomte,1-point deduction 1,24,27.3,44.0,11,121,990,11.0,15,12,27,14,1,1,16,0,15.6,14.8,11.8,26.7,177.0,364.0,1.36,1.09,2.45,1.27,2.36,1.42,1.07,2.49,1.35,2.42
11,Marseille,11,3,4,4,12,13,-1,13,1.18,17.3,9.5,7.8,0.71,L W L D L,"63,621",Ismaila Sarr - 3,Pau López,,23,28.1,50.7,11,121,990,11.0,11,9,20,11,0,0,21,1,17.3,17.3,14.3,31.6,219.0,499.0,1.0,0.82,1.82,1.0,1.82,1.58,1.3,2.87,1.58,2.87
12,Metz,12,3,4,5,12,18,-6,13,1.08,8.9,18.3,-9.4,-0.78,L L D D W,"23,858","Ablie Jallow, Joel Asoro... - 2",Alexandre Oukidja,,29,26.8,34.8,12,132,"1,080",12.0,12,9,21,12,0,0,16,1,8.9,8.9,6.8,15.8,154.0,329.0,1.0,0.75,1.75,1.0,1.75,0.74,0.57,1.31,0.74,1.31
13,Rennes,12,2,6,4,16,16,0,12,1.0,17.8,14.9,2.9,0.24,L L D L L,"27,735",Ibrahim Salah - 3,Steve Mandanda,,24,25.9,55.8,12,132,"1,080",12.0,16,5,21,13,3,3,18,2,17.8,15.4,9.8,25.2,201.0,588.0,1.33,0.42,1.75,1.08,1.5,1.48,0.82,2.3,1.28,2.1
14,Toulouse,12,2,6,4,13,16,-3,12,1.0,11.6,22.3,-10.6,-0.89,D D L L D,"25,468",Thijs Dallinga - 4,Guillaume Restes,,24,24.4,47.3,12,132,"1,080",12.0,13,12,25,12,1,2,28,0,11.6,10.1,8.7,18.8,167.0,461.0,1.08,1.0,2.08,1.0,2.0,0.97,0.72,1.69,0.84,1.56
15,Strasbourg,11,3,3,5,9,15,-6,12,1.09,11.4,14.1,-2.6,-0.24,L L L D D,"25,324",Lebo Mothiba - 3,Matz Sels,,22,25.2,40.2,11,121,990,11.0,8,5,13,8,0,0,18,1,11.4,11.4,9.2,20.7,168.0,334.0,0.73,0.45,1.18,0.73,1.18,1.04,0.84,1.88,1.04,1.88
16,Lorient,12,2,5,5,15,21,-6,11,0.92,9.9,18.1,-8.1,-0.68,D W L D L,"15,500","Romain Faivre, Eli Junior Kroupi - 3",Yvon Mvogo,,28,25.5,42.8,12,132,"1,080",12.0,14,10,24,14,0,0,16,0,9.9,9.9,7.2,17.1,197.0,394.0,1.17,0.83,2.0,1.17,2.0,0.83,0.6,1.43,0.83,1.43
17,Clermont Foot,11,2,3,6,8,14,-6,9,0.82,11.7,16.9,-5.2,-0.47,D W L D W,"8,489",Muhammed Cham - 2,Mory Diaw,,22,27.8,54.1,11,121,990,11.0,8,5,13,6,2,3,19,0,11.7,9.3,6.6,15.9,197.0,454.0,0.73,0.45,1.18,0.55,1.0,1.06,0.6,1.66,0.85,1.45
18,Lyon,11,1,4,6,9,19,-10,7,0.64,13.4,19.4,-6.0,-0.55,L D L D W,"42,980",Alexandre Lacazette - 3,Anthony Lopes,,27,26.2,53.5,11,121,990,11.0,8,4,12,6,2,2,24,1,13.4,12.0,10.0,22.0,223.0,542.0,0.73,0.36,1.09,0.55,0.91,1.22,0.91,2.13,1.09,2.0
1,PSV Eindhoven,12,12,0,0,45,5,40,36,3.0,39.6,10.8,28.8,2.4,W W W W W,"29,112",Luuk de Jong - 10,Walter Benítez,,23,26.7,64.7,12,132,"1,080",12.0,45,36,81,41,4,5,8,0,39.6,35.5,30.9,66.4,346.0,818.0,3.75,3.0,6.75,3.42,6.42,3.3,2.58,5.87,2.96,5.54
2,Feyenoord,12,9,2,1,36,9,27,29,2.42,32.7,8.5,24.1,2.01,W W L W W,"39,583",Santiago Giménez - 13,Timon Wellenreuther,,25,24.4,59.5,12,132,"1,080",12.0,36,27,63,35,1,2,9,1,32.7,31.1,24.3,55.4,333.0,699.0,3.0,2.25,5.25,2.92,5.17,2.72,2.03,4.75,2.59,4.62
3,Twente,12,8,3,1,25,11,14,27,2.25,20.9,11.3,9.6,0.8,W D W D D,"29,583",Sem Steijn - 8,Lars Unnerstall,,23,25.3,58.6,12,132,"1,080",12.0,24,17,41,23,1,1,27,1,20.9,20.2,15.7,35.9,236.0,512.0,2.0,1.42,3.42,1.92,3.33,1.74,1.31,3.05,1.68,2.99
4,AZ Alkmaar,11,8,2,1,26,6,20,26,2.36,18.9,8.6,10.3,0.93,W W W D L,"17,669",Vangelis Pavlidis - 13,Mathew Ryan,,23,25.0,53.0,11,121,990,11.0,25,20,45,24,1,1,13,0,18.9,18.1,14.1,32.2,208.0,498.0,2.27,1.82,4.09,2.18,4.0,1.72,1.29,3.0,1.64,2.93
5,Go Ahead Eag,12,6,3,3,23,16,7,21,1.75,16.0,22.8,-6.8,-0.56,W D D W W,"8,174",Willum Þór Willumsson - 5,Jeffrey De Lange,,20,26.0,42.0,12,132,"1,080",12.0,23,14,37,22,1,1,15,2,16.0,15.3,10.1,25.3,159.0,393.0,1.92,1.17,3.08,1.83,3.0,1.33,0.84,2.17,1.27,2.11
6,Sparta R'dam,12,5,3,4,17,16,1,18,1.5,15.1,16.3,-1.2,-0.1,L D W L W,"8,630","Arno Verschueren, Tobias Lauritsen... - 3",Nick Olij,,21,26.7,46.9,12,132,"1,080",12.0,16,11,27,14,2,2,18,1,15.1,13.5,10.5,24.0,175.0,431.0,1.33,0.92,2.25,1.17,2.08,1.26,0.87,2.13,1.12,2.0
7,Excelsior,12,3,6,3,20,21,-1,15,1.25,17.0,17.2,-0.3,-0.02,D L L D D,"4,357",Nikolas Agrafiotis - 5,Stijn van Gassel,,21,23.5,46.8,12,132,"1,080",12.0,19,17,36,19,0,0,20,1,17.0,17.0,13.5,30.4,208.0,346.0,1.58,1.42,3.0,1.58,3.0,1.41,1.12,2.54,1.41,2.54
8,Ajax,12,4,3,5,24,26,-2,15,1.25,22.1,23.5,-1.3,-0.11,L L W W D,"43,304",Steven Bergwijn - 6,Jay Gorter,,29,22.8,60.3,12,132,"1,080",12.0,24,18,42,21,3,3,18,0,22.1,19.8,17.0,36.8,263.0,611.0,2.0,1.5,3.5,1.75,3.25,1.84,1.42,3.26,1.65,3.07
9,Zwolle,12,4,2,6,14,21,-7,14,1.17,13.8,17.7,-3.9,-0.32,L W D W L,"13,708","Apostolos Vellios, Lennart Thy - 3",Jasper Schendelaar,,23,26.6,47.3,12,132,"1,080",12.0,14,11,25,12,2,2,29,1,13.8,12.3,9.9,22.1,180.0,469.0,1.17,0.92,2.08,1.0,1.92,1.15,0.82,1.97,1.02,1.84
10,Fortuna Sittard,12,3,4,5,12,20,-8,13,1.08,14.2,15.8,-1.6,-0.13,L L D L W,"8,787","Alen Halilović, Kaj Sierhuis - 2",Ivor Pandur,,22,27.0,44.8,12,132,"1,080",12.0,11,7,18,10,1,3,27,1,14.2,11.9,8.7,20.6,186.0,381.0,0.92,0.58,1.5,0.83,1.42,1.19,0.73,1.91,0.99,1.72
11,Heerenveen,12,4,1,7,17,26,-9,13,1.08,16.3,19.4,-3.1,-0.25,D L W L W,"16,106",Osame Sahraoui - 4,Andries Noppert,,22,25.7,47.6,12,132,"1,080",12.0,17,11,28,16,1,1,13,2,16.3,15.5,11.4,26.9,218.0,440.0,1.42,0.92,2.33,1.33,2.25,1.36,0.95,2.31,1.29,2.24
12,Almere City,12,3,4,5,12,22,-10,13,1.08,15.1,20.6,-5.5,-0.46,W D D W D,"4,074",Thomas Robinet - 5,Nordin Bakker,,24,25.3,43.3,12,132,"1,080",12.0,12,10,22,11,1,1,27,1,15.1,14.3,11.8,26.1,167.0,388.0,1.0,0.83,1.83,0.92,1.75,1.26,0.98,2.24,1.2,2.17
13,Heracles Almelo,12,3,3,6,15,32,-17,12,1.0,15.1,26.0,-10.9,-0.91,L D L L L,"11,778",Emil Hansson - 4,Michael Brouwer,,23,25.7,48.6,12,132,"1,080",12.0,15,12,27,14,1,1,27,1,15.1,14.3,11.4,25.7,206.0,403.0,1.25,1.0,2.25,1.17,2.17,1.26,0.95,2.21,1.2,2.14
14,NEC Nijmegen,11,2,5,4,20,22,-2,11,1.0,13.7,21.6,-7.9,-0.71,L D D D D,"12,421",Magnus Mattsson - 6,Jasper Cillessen,,25,26.3,46.5,11,121,990,11.0,20,11,31,18,2,2,24,2,13.7,12.1,8.7,20.8,170.0,368.0,1.82,1.0,2.82,1.64,2.64,1.25,0.79,2.04,1.1,1.89
15,Utrecht,12,2,3,7,11,23,-12,9,0.75,12.3,22.1,-9.8,-0.82,L W D D D,"20,391","Oscar Fraulo, Ryan Flamingo - 2",Vasilios Barkas,,27,25.8,47.4,12,132,"1,080",12.0,10,9,19,10,0,0,22,2,12.3,12.3,10.8,23.0,189.0,439.0,0.83,0.75,1.58,0.83,1.58,1.02,0.9,1.92,1.02,1.92
