Rk,Squad,MP_x,W,D,L,GF,GA,GD,Pts,Pts/MP,xG_x,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,# Pl,Age,Poss,MP_y,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG_y,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
7,Club Brugge,14,5,5,4,26,15,11,20,1.43,25.1,13.4,11.6,0.83,L L W L D,"17,636",Andreas Skov Olsen - 7,Simon Mignolet,,24,26.1,58.3,14,154,"1,260",14.0,25,21,46,23,2,3,27,1,25.1,22.7,18.3,41.0,312.0,780.0,1.79,1.5,3.29,1.64,3.14,1.79,1.3,3.09,1.62,2.93
8,Sint-Truiden,14,4,6,4,17,23,-6,18,1.29,15.4,21.8,-6.4,-0.46,L L W D D,"5,850",Aboubakary Koita - 10,Zion Suzuki,,21,23.7,56.3,14,154,"1,260",14.0,16,10,26,13,3,3,23,1,15.4,13.1,10.8,23.9,260.0,564.0,1.14,0.71,1.86,0.93,1.64,1.1,0.77,1.87,0.93,1.71
9,Standard Liège,14,4,5,5,15,21,-6,17,1.21,14.0,23.2,-9.2,-0.66,W W L D L,"20,729","Hayao Kawabe, Wilfried Kanga - 4",Arnaud Bodart,,28,25.5,50.3,14,154,"1,260",14.0,15,10,25,15,0,2,28,3,14.0,12.5,9.4,21.9,278.0,526.0,1.07,0.71,1.79,1.07,1.79,1.0,0.67,1.67,0.89,1.56
10,RWD Molenbeek,14,4,5,5,17,25,-8,17,1.21,18.1,24.2,-6.1,-0.43,L D L D W,"4,762",Makhtar Gueye - 6,Théo Defourny,,26,26.5,45.2,14,154,"1,260",14.0,17,12,29,16,1,1,30,1,18.1,17.4,12.2,29.6,191.0,479.0,1.21,0.86,2.07,1.14,2.0,1.29,0.87,2.17,1.24,2.11
11,Mechelen,14,4,3,7,13,19,-6,15,1.07,18.6,21.6,-3.1,-0.22,L L L D W,"10,787",Rob Schoofs - 3,Gaëtan Coucke,,26,26.9,52.0,14,154,"1,260",14.0,12,9,21,11,1,2,26,0,18.6,17.0,13.2,30.2,244.0,628.0,0.86,0.64,1.5,0.79,1.43,1.33,0.94,2.27,1.21,2.16
12,Eupen,14,4,2,8,18,30,-12,14,1.0,13.8,30.6,-16.8,-1.2,L L W D L,"4,028",Isaac Nuhu - 4,Gaga Slonina,,22,25.3,41.9,14,154,"1,260",14.0,18,15,33,17,1,1,25,1,13.8,13.0,10.2,23.3,205.0,423.0,1.29,1.07,2.36,1.21,2.29,0.99,0.73,1.72,0.93,1.66
13,Charleroi,14,3,4,7,14,23,-9,13,0.93,17.8,25.3,-7.4,-0.53,W W L L L,"6,420",Marco Ilaimaharitra - 4,Hervé Koffi,,22,26.1,51.1,14,154,"1,260",14.0,14,10,24,11,3,3,29,3,17.8,15.5,13.0,28.5,207.0,609.0,1.0,0.71,1.71,0.79,1.5,1.27,0.93,2.2,1.11,2.03
14,OH Leuven,14,3,3,8,20,29,-9,12,0.86,19.6,23.5,-3.8,-0.27,L W L L L,"6,979",Hamza Mendyl - 3,Maxence Prevot,,26,25.4,45.6,14,154,"1,260",14.0,20,15,35,17,3,4,37,1,19.6,16.5,13.0,29.5,218.0,457.0,1.43,1.07,2.5,1.21,2.29,1.4,0.93,2.33,1.18,2.11
15,Westerlo,14,2,5,7,18,26,-8,11,0.79,14.3,21.6,-7.3,-0.52,W D L W D,"5,557","Nicolas Madsen, Lucas Stassin - 4",Sinan Bolat,,30,25.8,47.0,14,154,"1,260",14.0,18,11,29,15,3,3,31,0,14.3,12.0,8.1,20.1,220.0,542.0,1.29,0.79,2.07,1.07,1.86,1.02,0.58,1.6,0.86,1.43
16,Kortrijk,14,2,3,9,10,29,-19,9,0.64,14.0,25.6,-11.6,-0.83,L W L D L,"6,559",Isaak Davies - 3,Tom Vandenberghe,,30,24.9,43.6,14,154,"1,260",14.0,10,7,17,9,1,1,37,2,14.0,13.8,10.0,23.8,249.0,460.0,0.71,0.5,1.21,0.64,1.14,1.0,0.72,1.71,0.98,1.7
1,Celtic,13,11,2,0,34,7,27,35,2.69,,,,,W D W W W,,,,,29,26.6,69.5,13,143,"1,170",13.0,34,25,59,30,4,6,15,1,,,,,,,2.62,1.92,4.54,2.31,4.23,,,,,
2,Rangers,12,9,0,3,26,6,20,27,2.25,,,,,W W W W W,,,,,26,28.0,65.3,12,132,"1,080",12.0,26,15,41,22,4,6,17,1,,,,,,,2.17,1.25,3.42,1.83,3.08,,,,,
3,St Mirren,12,5,4,3,18,18,0,19,1.58,,,,,L W L D L,,,,,20,27.0,43.0,12,132,"1,080",12.0,16,10,26,13,3,3,26,1,,,,,,,1.33,0.83,2.17,1.08,1.92,,,,,
4,Hearts,12,5,2,5,12,12,0,17,1.42,,,,,D L L W W,,,,,22,26.4,59.3,12,132,"1,080",12.0,11,8,19,11,0,0,28,0,,,,,,,0.92,0.67,1.58,0.92,1.58,,,,,
5,Dundee,12,4,5,3,14,15,-1,17,1.42,,,,,D W L W W,,,,,23,26.3,41.0,12,132,"1,080",12.0,14,10,24,13,1,2,17,1,,,,,,,1.17,0.83,2.0,1.08,1.92,,,,,
6,Kilmarnock,13,4,4,5,15,15,0,16,1.23,,,,,W W L W L,,,,,22,26.2,48.2,13,143,"1,170",13.0,15,9,24,14,1,2,31,0,,,,,,,1.15,0.69,1.85,1.08,1.77,,,,,
7,Hibernian,13,3,6,4,18,20,-2,15,1.15,,,,,L D D D W,,,,,27,28.2,52.2,13,143,"1,170",13.0,17,12,29,16,1,1,26,0,,,,,,,1.31,0.92,2.23,1.23,2.15,,,,,
8,Motherwell,13,3,3,7,15,21,-6,12,0.92,,,,,D L L D L,,,,,24,26.4,45.6,13,143,"1,170",13.0,15,11,26,13,2,3,36,2,,,,,,,1.15,0.85,2.0,1.0,1.85,,,,,
9,Aberdeen,11,3,3,5,14,20,-6,12,1.09,,,,,W D L W L,,,,,20,26.6,45.5,11,121,990,11.0,14,7,21,13,1,1,18,0,,,,,,,1.27,0.64,1.91,1.18,1.82,,,,,
10,St Johnstone,12,2,5,5,8,18,-10,11,0.92,,,,,D L W D W,,,,,26,27.2,43.7,12,132,"1,080",12.0,8,7,15,8,0,0,29,2,,,,,,,0.67,0.58,1.25,0.67,1.25,,,,,
11,Ross County,12,2,4,6,11,21,-10,10,0.83,,,,,D D D L L,,,,,23,27.5,42.4,12,132,"1,080",12.0,10,8,18,10,0,0,34,1,,,,,,,0.83,0.67,1.5,0.83,1.5,,,,,
12,Livingston,13,2,4,7,9,21,-12,10,0.77,,,,,L L L L L,,,,,25,28.3,43.6,13,143,"1,170",13.0,8,5,13,5,3,3,31,1,,,,,,,0.62,0.38,1.0,0.38,0.77,,,,,
